관광지명(소재지역),도로명,lat,lot,대분류명,중분류명,10대 이하 남성 비율,10대 이하 여성 비율,20대 남성 비율,20대 여성 비율,30대 남성 비율,30대 여성 비율,40대 남성 비율,40대 여성 비율,50대 남성 비율,50대 여성 비율,60대 남성 비율,60대 여성 비율,70대 이상 남성 비율,70대 이상 여성 비율
각원사,충남 천안시 동남구 각원사길 245 각원사,36.8342912,127.1969417,인문(문화/예술/역사),역사관광지,1.1,1,4.1,4.4,5.9,6,6.5,6.4,13,15.4,12.5,14.1,4.2,5.6
광덕사(천안),충남 천안시 동남구 광덕사길 26 광덕사,36.6752704,127.0426879,인문(문화/예술/역사),역사관광지,1.4,0.8,3.5,3.9,5.8,3.8,7.6,5.1,14.3,13.8,13.8,14.7,5.6,5.8
광덕산,충남 천안시 동남구 광덕면,36.6766596,127.0927346,자연,자연관광지,2.3,2.6,9.9,2.7,8.6,4.6,9,2.4,11.2,10.9,22.2,7.3,4.2,2.2
리각미술관,충남 천안시 동남구 태조산길 245 리각미술관,36.8207937,127.1859704,인문(문화/예술/역사),문화시설,1.9,2.6,6.9,6.1,8.6,7.1,8.8,7.2,10.5,13.3,9.7,10,3.8,3.3
목천향교,충남 천안시 동남구 목천읍 교촌6길 5,36.7996923,127.2295184,인문(문화/예술/역사),역사관광지,1.2,s,6,6.4,7.6,6.5,8.4,7.8,13.4,16,13.9,7,3.2,1.3
박문수묘,충남 천안시 동남구 북면 은지리 산1-1,36.7870311,127.2798702,인문(문화/예술/역사),역사관광지,0.3,0.2,11.5,2.3,7.5,9,10.6,2.1,26.9,5.4,11.8,7.4,3.7,1.4
성거산,충남 천안시 서북구 성거읍 천흥리,36.8670279,127.2170909,자연,자연관광지,2.2,1.7,13.3,4.1,9.8,4.5,8.7,4.1,12,8.7,12.9,9.2,4.9,3.9
성불사(천안),충남 천안시 동남구 성불사길 144 성불사,36.8282652,127.1968542,인문(문화/예술/역사),역사관광지,1,0.6,5.6,6.4,6.9,4.1,7.9,4.7,15.7,20.7,13.7,7.4,3.1,2.2
승천사,충남 천안시 동남구 약수로 46,36.7213571,127.2152039,인문(문화/예술/역사),역사관광지,1.8,1.2,5.4,3,6,2.1,8,7.9,11,10.9,18,9,4.3,11.6
신방공원,충남 천안시 동남구 신방동 945,36.7790622,127.1319896,인문(문화/예술/역사),휴양관광지,3.7,3.5,8.9,6.9,10.2,6.3,9.9,7.3,11.1,10.4,7.7,7.1,3.4,3.5
아름다운정원화수목,충남 천안시 동남구 목천읍 교천지산길 175,36.7839334,127.1931325,자연,자연관광지,2,1.2,5.6,4,9.9,6.2,11.5,6.3,13.1,12.5,11.7,9.9,3.4,2.9
아우내독립만세운동기념공원,충남 천안시 동남구 병천면 병천리,36.7806849,127.2953255,인문(문화/예술/역사),휴양관광지,2.2,2.9,6.7,4.1,8.1,5.3,10.8,6.8,16.8,11.8,12.9,7.2,2.6,1.8
아우내장/병천5일장(1_6일),충남 천안시 동남구 병천면 충절로 1718,36.7639237,127.2964798,쇼핑,쇼핑,2.2,2.4,7,3.8,8.3,4.9,10.2,6.1,14.5,10.6,12.7,9,4.3,4
유관순열사기념관,충남 천안시 동남구 병천면 유관순길 38 유관순열사유적지,36.7591347,127.3084569,인문(문화/예술/역사),문화시설,9.3,14.9,5.3,4.9,6.4,5.3,7.3,5.9,9.1,9.3,11.3,6.2,2.4,2.5
유관순열사생가,충남 천안시 동남구 병천면 유관순생가길 18-1,36.7572439,127.3170128,인문(문화/예술/역사),역사관광지,7.7,1.8,5.5,1.8,5.8,9.4,6.7,8.6,11.3,7.5,11.2,13.5,5,4.1
이동녕선생생가지,충남 천안시 동남구 목천읍 동리4길 36,36.7905262,127.2395166,인문(문화/예술/역사),역사관광지,4,4.2,5.5,5.3,6.6,6.8,6.3,7.9,10.2,10.9,12.4,11,4.6,4.3
조병옥박사생가지,충남 천안시 동남구 유관순길 243-6,36.7522369,127.3147046,인문(문화/예술/역사),역사관광지,3.8,0.5,7.2,1.3,9.7,4.3,6.1,2.2,26.1,9.3,6.1,10.4,8,5.1
천안노은정,충남 천안시 동남구 병천면 도원리,36.7833662,127.3141198,인문(문화/예술/역사),역사관광지,0.2,0.4,6.6,2.3,3.8,2.4,6.3,1.8,24.1,9.6,31.2,8.1,1.5,1.8
천안독립기념관,충남 천안시 동남구 목천읍 독립기념관로 1 독립기념관,36.7812042,127.2264822,인문(문화/예술/역사),문화시설,11.1,11,7.6,6.3,7.1,8.1,8.5,8.8,6.7,7.9,6.8,5.8,2.6,1.7
천안박물관,충남 천안시 동남구 천안삼거리길 27 천안박물관,36.7882468,127.1631805,인문(문화/예술/역사),문화시설,5.5,9.6,6.3,5.9,8.8,6.9,8.9,6.2,10.6,9.7,9.2,6.7,2.9,2.9
천안병천순대거리,충남 천안시 동남구 아우내순대길 33,36.760792,127.2983194,인문(문화/예술/역사),체험관광지,2.2,2.4,7,3.8,8.3,4.9,10.2,6.1,14.5,10.6,12.7,9,4.3,4
천안삼거리공원,충남 천안시 동남구 삼룡동 298-2,36.7832619,127.168076,인문(문화/예술/역사),휴양관광지,2.2,3.4,5.8,6.6,15,12.1,8.4,7.5,10.5,7.9,8,6.5,3.6,2.4
천안상록리조트,충남 천안시 동남구 수신로 576,36.7407807,127.2884719,인문(문화/예술/역사),휴양관광지,2.5,3,6.1,4.1,9.6,5.1,12.1,6.2,16.6,11.6,11.4,8,2.2,1.5
천안역전시장,충남 천안시 동남구 공설시장1길 9,36.8098636,127.1489231,쇼핑,쇼핑,2.6,2.6,13.8,9.6,11,6.1,8,4.5,10,7,9.6,6.7,4.2,4.2
천안예술의전당미술관,충남 천안시 동남구 성남면 종합휴양지로 185,36.7560975,127.2261615,인문(문화/예술/역사),문화시설,4.9,4.6,6.3,5.2,9.9,10.5,11.9,11.8,8.4,10.1,5.6,6.5,2.2,2.2
천안중앙시장,충남 천안시 동남구 사직로 7,36.8007145,127.1492746,쇼핑,쇼핑,1.9,1.9,6.7,5,7.3,4.9,6.8,6,10.4,8.8,11.7,12.2,7.8,8.6
천안향교,충남 천안시 동남구 유량동,36.8154259,127.1864713,인문(문화/예술/역사),역사관광지,3.3,1.8,6.8,5.4,8.2,6.4,6.9,7.2,9.4,12.3,11,11.3,5.7,4
천안홍대용과학관,충남 천안시 동남구 수신면 장산서길 113 홍대용과학관,36.7394852,127.2962461,인문(문화/예술/역사),문화시설,2.6,1.6,10.2,2.8,10.3,3.7,15,6.8,8.6,6.6,12.3,5.3,5.5,8.6
청수호수공원,충남 천안시 동남구 청수로 20,36.7874192,127.1487689,인문(문화/예술/역사),휴양관광지,5.7,6.5,5.9,5.5,7.2,7,9.3,8.4,9.2,8.6,7.5,8.5,4.4,6.3
충청남도안전체험관,충남 천안시 동남구 태조산길 267-17 충남 안전체험관,36.8216899,127.1919779,인문(문화/예술/역사),체험관광지,1.3,2.3,10,8.4,10.1,6.8,7.1,8.8,10.7,14.6,6.5,8.8,2.4,2.1
태조산(태조봉),충남 천안시 동남구 목천읍 덕전리,36.8175568,127.2126607,자연,자연관광지,1.9,1.8,8.3,6.6,9.5,6,7.7,7.4,11.4,14.4,9.8,9.5,2.6,3.1
태학산자연휴양림,충남 천안시 동남구 풍세면 휴양림길 105-2,36.7281378,127.0921696,자연,자연관광지,1.9,1.2,10.9,7.6,14.1,7.4,12.6,7.6,11.2,8,9.3,5,1.5,1.6
한민족역사문화공원,충남 천안시 동남구 목천읍 교천지산길 284-88 글로벌사이버대학교,36.7938221,127.199415,인문(문화/예술/역사),휴양관광지,1.2,1,4.2,2.9,5.3,2.9,7.3,11.2,11.3,17,6.2,12.3,7.3,9.9
흑성산,충남 천안시 동남구 목천읍 지산리 산24-3,36.7967475,127.2078834,인문(문화/예술/역사),역사관광지,1.5,1.2,8.4,6,7.4,4,8.5,5.2,15,9.9,15.1,10.6,3,4.4
불당동유적공원(선사유적지공원),충남 천안시 서북구 불당동 815,36.8048875,127.1143383,인문(문화/예술/역사),역사관광지,7.7,10.2,5.9,6.1,7.4,8.1,9.5,11.2,8.5,11.1,5.5,5.4,1.3,2
업성지,충남 천안시 서북구 성성2길 66,36.8472183,127.1356465,자연,자연관광지,2.3,2.5,8.6,7.7,14.8,12.1,11.4,8.4,10.6,8.4,6,4.4,1.6,1.2
직산향교,충남 천안시 서북구 직산읍 군서리,36.8966665,127.1524434,인문(문화/예술/역사),역사관광지,2.5,2.5,6.9,5.4,17.4,4.4,10.7,7.5,14.1,8.2,12.3,5.7,1.4,1.1
