지역,업소명,주소,분야,업종,lat,lon
천안시,국보 봉선홍경사갈기비,충청남도 천안시 서북구 성환읍 대홍3길 77-48,문화,유적지,36.9431885,127.1346318
천안시,만일사,충청남도 천안시 서북구 성거읍 천흥4길 503,문화,사찰,36.8507476,127.2195525
천안시,망향의동산,충청남도 천안시 서북구 성거읍 망향로 327,자연,기타,36.8503194,127.1822373
천안시,봉선홍경사 갈기비,충청남도 천안시 서북구 성환읍 대홍리 319-8,문화,유적지,36.9431885,127.1346318
천안시,천흥사지 오층석탑&당간지주,충청남도 천안시 서북구 성거읍 천흥리 190-2 일원,문화,유적지,36.8700502,127.2131069
천안시,왕지봉 배꽃,충청남도 천안시 서북구 성환읍 왕지1길 154,명소,기타,36.9094464,127.101534
천안시,입장 거봉포도마을,충청남도 천안시 서북구 입장면 입장로 129,명소,기타,36.9127562,127.2213044
천안시,장수농원,충청남도 천안시 서북구 입장면 독정리 30-3,체험,포도 체험,36.9173041,127.2319575
천안시,엄마포도농원,충청남도 천안시 서북구 입장면 망향로 1099,체험,포도 체험,36.9085193,127.2270703
천안시,병권네 포도농원,충청남도 천안시 서북구 입장면 신덕4길 53-2,체험,포도 체험,36.906672,127.2170562
천안시,화성선인장,충청남도 천안시 서북구 입장면 연곡길 95-33,체험,농촌 체험,36.9207745,127.2103221
