"지역","업소명","주소","분야","업종","lat","lon","geom"
천안시,독립기념관,충청남도 천안시 동남구 목천읍 독립기념관로 1,역사,박물관,36.78248,127.22441,POINT (127.22441101074219 36.78247833251953)
천안시,유관순열사 기념관,충청남도 천안시 동남구 병천면 유관순길 38,문화,전시관,36.759106,127.30756,POINT (127.30756378173828 36.75910568237305)
천안시,천안삼거리공원,충청남도 천안시 동남구 충절로 410,자연,공원,36.783123,127.1699,POINT (127.1698989868164 36.78312301635742)
천안시,태조산왕건길과 청동대좌불,충청남도 천안시 동남구 각원사길 245,문화,사찰,36.834305,127.19612,POINT (127.19612121582031 36.83430480957031)
천안시,아라리오조각광장,충청남도 천안시 동남구 만남로 43,문화,전시관,36.820282,127.15671,POINT (127.15670776367188 36.820281982421875)
천안시,성성호수공원,충청남도 천안시 서북구 성성2길 95,자연,공원,36.847137,127.12959,POINT (127.12959289550781 36.847137451171875)
천안시,광덕산,충청남도 천안시 동남구 광덕면 광덕사길 30,자연,산,36.675804,127.0423,POINT (127.04229736328125 36.675804138183594)
천안시,천안 박물관,충청남도 천안시 동남구 천안대로 429-13,역사,박물관,36.78702,127.162865,POINT (127.1628646850586 36.78702163696289)
천안시,광덕산관광농원,충청남도 천안시 동남구 광덕면 해사동길 15,자연,농원,36.674377,127.0361,POINT (127.03610229492188 36.67437744140625)
천안시,태학산자연휴양림,충청남도 천안시 동남구 풍세면 휴양림길 105-2,자연,휴양림,36.728138,127.09217,POINT (127.09217071533203 36.7281379699707)
천안시,남산공원,충청남도 천안시 동남구 영성로 1-60,자연,공원,36.799168,127.14941,POINT (127.14940643310547 36.79916763305664)
천안시,박문수묘,충청남도 천안시 동남구 북면 은지리 산1-1,문화,유적지,36.78703,127.27987,POINT (127.27986907958984 36.78702926635742)
천안시,위례산성,충청남도 천안시 동남구 북면 위례성로 1367-61,문화,유적지,36.877823,127.26731,POINT (127.2673110961914 36.87782287597656)
천안시,조병옥박사생가,충청남도 천안시 동남구 병천면 유관순길 249,문화,유적지,36.751595,127.31476,POINT (127.31475830078125 36.75159454345703)
천안시,노은정,충청남도 천안시 동남구 병천면 도원리 316-1,문화,유적지,36.78622,127.31852,POINT (127.31851959228516 36.78622055053711)
천안시,병천순대거리,충청남도 천안시 동남구 병천면 아우내순대길 82,명소,기타,36.764355,127.30112,POINT (127.30111694335938 36.76435470581055)
천안시,천안종합휴양관광지,충청남도 천안시 동남구 성남면 종합휴양지로 200,명소,기타,36.7571,127.22353,POINT (127.2235336303711 36.75709915161133)
천안시,천호지 야경,충청남도 천안시 동남구 단대로 119,명소,기타,36.838787,127.16979,POINT (127.16979217529297 36.83878707885742)
천안시,공방고운,충청남도 천안시 동남구 수신면 해정2길 58,체험,공예품 체험,36.72083,127.27502,POINT (127.27501678466797 36.720829010009766)
천안시,효덕목장,충청남도 천안시 동남구 성남면 대흥2길 133-3,체험,치즈 체험,36.728607,127.23969,POINT (127.23969268798828 36.728607177734375)
천안시,광덕곤충농장,충청남도 천안시 동남구 광덕면 광풍로 890-26,체험,농촌 체험,36.70277,127.1101,POINT (127.11009979248047 36.7027702331543)
천안시,장승배기농장,충청남도 천안시 동남구 성남면 성남신덕1길 228,체험,농촌 체험,36.717854,127.2408,POINT (127.24079895019531 36.71785354614258)
천안시,자연누리성,충청남도 천안시 동남구 광덕면 차령고개로 449,체험,농촌 체험,36.661617,127.12427,POINT (127.124267578125 36.661617279052734)
천안시,아우내오이 체험농장,충청남도 천안시 동남구 병천면 탑원1길 67-8,체험,농촌 체험,36.758087,127.30406,POINT (127.30406188964844 36.758087158203125)
천안시,봉황52농장,충청남도 천안시 동남구 병천면 봉항로 706,체험,농촌 체험,36.820904,127.31498,POINT (127.31497955322266 36.82090377807617)
천안시,미애친애농장,충청남도 천안시 동남구 병천면 남부대로 1420 ,체험,농촌 체험,36.75319,127.30287,POINT (127.30287170410156 36.75318908691406)
천안시,신광목장,충청남도 천안시 동남구 북면 대평3길 2,체험,농촌 체험,36.86836,127.28311,POINT (127.28311157226562 36.86835861206055)
천안시,들길농원,충청남도 천안시 동남구 풍세면 상정1길 23,체험,농촌 체험,36.72234,127.116516,POINT (127.11651611328125 36.72233963012695)
천안시,우정 박물관,충청남도 천안시 동남구 양지말1길 11-14,역사,박물관,36.81433,127.18829,POINT (127.18829345703125 36.8143310546875)
천안시,흑성산,충청남도 천안시 동남구 목천읍 교촌7길 46-12,자연,산,36.80175,127.22787,POINT (127.22786712646484 36.80175018310547)
천안시,태조산,충청남도 천안시 동남구 태조산길 261,자연,산,36.821953,127.18866,POINT (127.18865966796875 36.82195281982422)
천안시,봉서산,충청남도 천안시 동남구 봉서10길 12,자연,산,36.812817,127.13128,POINT (127.13127899169922 36.81281661987305)
천안시,천안 성거산 위례성,충청남도 천안시 동남구 북면 운용리 산81번지,자연,산,36.87495,127.254005,POINT (127.2540054321289 36.87495040893555)
천안시,리각 미술관,충청남도 천안시 동남구 태조산길 245,문화,전시관,36.820637,127.18627,POINT (127.18627166748047 36.82063674926758)
천안시,홍대용 과학관,충청남도 천안시 동남구 수신면 장산서길 113,문화,전시관,36.739376,127.29559,POINT (127.29559326171875 36.739376068115234)
천안시,천안 흥타령관,충청남도 천안시 동남구 천안대로 412,문화,전시관,36.785076,127.16542,POINT (127.16542053222656 36.78507614135742)
천안시,山史 현대시100년관,충청남도 천안시 동남구 백석대학로 1-15 ,문화,전시관,36.838406,127.18278,POINT (127.18277740478516 36.83840560913086)
천안시,이동녕선생 기념관,충청남도 천안시 동남구 목천읍 동리4길 35,문화,전시관,36.790413,127.23886,POINT (127.23886108398438 36.79041290283203)
천안시,유관순열사 사적지,충청남도 천안시 동남구 병천면 유관순길 38,문화,전시관,36.759106,127.30756,POINT (127.30756378173828 36.75910568237305)
천안시,광명사,충청남도 천안시 동남구 다가말2길 100 광명사,문화,사찰,36.79731,127.14376,POINT (127.14376068115234 36.79730987548828)
천안시,광덕사,충청남도 천안시 동남구 광덕면 광덕사길 30,문화,사찰,36.675804,127.0423,POINT (127.04229736328125 36.675804138183594)
천안시,성불사,충청남도 천안시 동남구 성불사길 144,문화,사찰,36.82854,127.1969,POINT (127.1968994140625 36.82854080200195)
천안시,은석사,충청남도 천안시 동남구 북면 박문수길 174-1,문화,사찰,36.777527,127.275116,POINT (127.27511596679688 36.77752685546875)
천안시,국학원 한민족역사 문화공원,충청남도 천안시 동남구 목천읍 교천지산길 284-11,자연,공원,36.792316,127.19452,POINT (127.19451904296875 36.79231643676758)
천안시,천왕사 꽃정원,충청남도 천안시 동남구 광덕면 원터길 484,자연,정원,36.623688,127.15064,POINT (127.15064239501953 36.623687744140625)
천안시,아름다운정원 화수목,충청남도 천안시 동남구 목천읍 교천지산길 175,자연,정원,36.78393,127.19313,POINT (127.19313049316406 36.783931732177734)
천안시,태조산공원,충청남도 천안시 동남구 태조산길 261,자연,공원,36.821953,127.18866,POINT (127.18865966796875 36.82195281982422)
천안시,유성관광농원,충청남도 천안시 동남구 북면 납안5길 66,자연,농원,36.861343,127.25482,POINT (127.25482177734375 36.86134338378906)
